province,province.name
BJ,Beijing
TJ,Tianjin
HE,Hebei
SX,Shanxi
NM,Inner Mongolia
LN,Liaoning
JL,Jilin
HL,Heilongjiang
SH,Shanghai
JS,Jiangsu
ZJ,Zhejiang
AH,Anhui
FJ,Fujian
JX,Jiangxi
SD,Shandong
HA,Henan
HB,Hubei
HN,Hunan
GD,Guangdong
GX,Guangxi
HI,Hainan
CQ,Chongqing
SC,Sichuan
GZ,Guizhou
YN,Yunnan
XZ,Tibet
SN,Shaanxi
GS,Gansu
QH,Qinghai
NX,Ningxia
XJ,Xinjiang
HK,Hong Kong
MC,Macau
