Region,pop2000
Africa , 813123731
Australia_NZ , 22603983
Canada , 31209299
China  , 1397857019 
Eastern Europe , 123917239
Former Soviet Union , 297536224
India , 1010329677
Japan , 124473594
Korea , 51010641
Latin America , 508033627
Middle East , 178740493
Southeast Asia , 774664021
USA , 282494918
Western Europe , 448082681
